Accession,SampleID
MW892602,SP661
MW892603,SP3031
MW892604,SP123
MW892605,SP796
MW341596,SP412
MW341597,SP632
MW341598,SP1142
MW341599,SP1192
MW341600,SP1876
MW341601,SP2118
MW341602,SP2145
MW341603,SP2405
MW341604,SP2712
MW341605,SP2732
MW341606,SP2909
MW341607,SP3066
MW341608,SP3074
MW341609,SP3159
MW341610,SP3418
MW341611,SP3435
MW341612,SP3587
MW341613,SP3709
MW341614,SP1636
MW341615,SP2016
MW341616,SP2271
MW341617,SP2287
MW341618,SP2548
MW341619,SP2566
MW341620,SP3007
MW341621,SP3391
MW341622,SP3524
MW341623,SP286
MW341624,SP1321
MW341625,SP1479
MW341626,SP1989
MW341627,SP2222
MW341628,SP883
MW341629,SP272
MW341630,SP297
MW341631,SP426
MW341632,SP825
MW341633,SP1151
MW341634,SP1428
MW341635,SP1442
MW341636,SP1753
MW341637,SP2082
MW341638,SP2853
MW341639,SP2898
MW341640,SP2975
MW341641,SP3034
MW341642,SP661
MW341643,SP3031
MW341644,SP123
MW341645,SP796
MW341646,SP412
MW341647,SP632
MW341648,SP1142
MW341649,SP1192
MW341650,SP1876
MW341651,SP2118
MW341652,SP2145
MW341653,SP2405
MW341654,SP2712
MW341655,SP2732
MW341656,SP2909
MW341657,SP3066
MW341658,SP3074
MW341659,SP3159
MW341660,SP3418
MW341661,SP3435
MW341662,SP3587
MW341663,SP3709
MW341664,SP1636
MW341665,SP2016
MW341666,SP2271
MW341667,SP2287
MW341668,SP2548
MW341669,SP2566
MW341670,SP3007
MW341671,SP3391
MW341672,SP3524
MW341673,SP286
MW341674,SP1321
MW341675,SP1479
MW341676,SP1989
MW341677,SP2222
MW341678,SP883
MW341679,SP272
MW341680,SP297
MW341681,SP426
MW341682,SP825
MW341683,SP1151
MW341684,SP1428
MW341685,SP1442
MW341686,SP1753
MW341687,SP2082
MW341688,SP2853
MW341689,SP2898
MW341690,SP2975
MW341691,SP3034
