accession,species,date_created,date_updated,host,gene,length,subtype,sequencing_platform
MW892602,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,A,Illumina
MW892603,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,D,Illumina
MW892604,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,A,Sanger
MW892605,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,A,Sanger
MW341596,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,A,Oxford nanapore
MW341597,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,D,Illumina
MW341598,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,C,Illumina
MW341599,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,C,Sanger
MW341600,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,NFL,0,C,Oxford nanapore
MW341601,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,NFL,0,A,Illumina
MW341602,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,NFL,0,A,Illumina
MW341603,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,IN,0,AD,Sanger
MW341604,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,IN,0,AD,Sanger
MW341605,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,IN,0,AD,Oxford nanapore
MW341606,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,ISR,Illumina
MW341607,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,ISR,Illumina
MW341608,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,ISR,Sanger
MW341609,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,B,Oxford nanapore
MW341610,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,B,Illumina
MW341611,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,C,Illumina
MW341612,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,C,Sanger
MW341613,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,pol,0,A,Sanger
MW341614,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,NFL,0,A,Oxford nanapore
MW341615,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,NFL,0,D,Illumina
MW341616,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,NFL,0,A,Illumina
MW341617,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,IN,0,A,Sanger
MW341618,Human immunodeficiency virus,2020-02-16,2020-02-16,Human,IN,0,A,Oxford nanapore
